ID	M-b	18K-b	19K-b	18C-b	20C-1
ZY110	25.69	63.06	37.79461279	70.2	75
ZY188	15.44	33.24	14.61675579	28.18	77
J38	19.59	46.68	10.48976608	40.91	56.4516129
J105	17.22	34.69	13.44672657	57.88	70.16129032
ZY30	11.55	33.95	23.02681992	50.79	75
ZY136	25.63	65.8	28.45982143	30.77	72.32142857
J30	56.7	76.28	27.77777778	83.86	67.24137931
J2	NA	NA	NA	NA	77.5862069
J9	33.22	63.15	39.53030303	54.09	76.72413793
ZY361	49.64	53.25	20.51282051	60.97	47.5
J40	22.45	54.08	18.44618055	44.32	75
J18	14.24	26.09	12.39316239	35.16	59.375
ZY61	10.76	42.79	12.3655914	36.29	58.59375
ZY222	29.88	67.96	48.14189189	57.74	89.51612903
ZY326	9.5	29.34	NA	35.83	55.71428571
ZY25	11.59	27.1	16.7966043	34.48	23.33333333
ZY439	47.3	47.77	66.31944444	82.66	98.33333333
ZY304	28.63	32.63	18.60576923	64.39	75.73529412
ZY275	28.19	31.03	6.973319473	58.45	90.32258065
ZY113	15	56.58	27.39762931	41.88	66.37931034
ZY397	19.39	51.95	10.25369979	41.23	69.23076923
ZY289	55.54	57.93	17.79069767	86.66	92.59259259
ZY309	23.51	26.66	4.6875	36.91	71.09375
ZY34	28.57	46.08	15.90909091	51.48	79.54545455
ZY13	19.32	40.52	13.23380567	39.74	39.39393939
ZY65	18.31	53.19	37.33660131	67.02	77.34375
ZY364	28.72	53.68	43.2037037	48.69	82.25806452
J48	42.52	60.83	31.01851852	76.22	50
ZY208	31.98	70.55	61.54411764	61.53	70.16129032
ZY143	44.03	50.32	28.54761905	62.76	66.66666667
ZY218	30.48	70.95	42.62333966	62.87	87.5
ZY192	21.32	47.65	32.36704446	42.19	50.78125
ZY428	26.91	43.6	24.98120301	61.95	91.91176471
ZY58	41.15	57.07	46.875	74.49	83.62068966
J53	18.68	49.19	23.18412162	36.36	86.29032258
ZY288	35.64	59.37	15.39829303	74.42	87.06896552
ZY142	24.46	45.53	41.07894737	55.26	84.82142857
ZY458	27.53	44.08	35.35067873	68.44	71.66666667
ZY47	11.79	18.97	8.239524702	46.49	56.48148148
ZY121	42.27	70.44	59.09090909	51.54	77.14285714
ZY469	12.82	17.65	9.839743588	42.67	37.5
J14	NA	NA	27.1875	NA	68.96551724
ZY306	37.11	41.81	14.375	51.91	68.93939394
ZY40	13.75	23.85	7.524038461	40.79	79.16666667
J68	20.78	41.64	5.980392158	75.9	88.63636364
ZY322	37.27	43.33	38.38827839	56.26	84.16666667
ZY105	21.33	66.94	35.703125	62.13	84.72222222
J13	57.24	65.14	42.36607143	60.84	66.40625
ZY41	33.9	46.12	15.60015898	59.37	90.625
ZY408	50.66	58.25	31.79271708	55.36	55.46875
ZY413	47.07	70.18	41.5625	83.34	81.25
ZY381	37.85	31.29	14.30353902	71.25	78.03030303
ZY446	40.98	48.47	47.08508403	57.5	70.71428571
ZY126	37.14	66	52.65151515	44.05	72.5
J44	40.46	59.13	22.265625	65.72	57.8125
ZY70	37.33	54.55	54.93607954	78.95	92.64705882
ZY449	50.5	60.26	56.08022071	62.53	73.38709677
ZY219	48.47	79.06	51.14820076	65.85	72.05882353
J5	24.78	37	25.59523809	40.66	75
ZY370	22.05	13.38	11.90476191	36.76	32.14285714
ZY196	19.94	31.64	21.83958151	27.59	70.16129032
ZY50	28.73	34.46	30.35826524	48	79.6875
ZY332	23.36	35.82	10.59384164	53.18	67.1875
ZY35	30.32	52.6	38.68172269	63.21	94.82758621
J17	25	44.29	22.6010101	47.56	52.34375
ZY164	22.37	70.05	35.40305011	45.08	92.5
ZY94	30.8	69.77	45.51083591	47.01	85.15625
ZY31	14.02	30.33	21.66005291	65.56	86.76470588
ZY11	37.2	44.83	8.409090909	53.36	79.83870968
J102	28.4	30.72	17.37023139	64.95	75.80645161
ZY139	21.36	46.53	27.66009852	56.73	76.61290323
J32	24.24	52.25	12.32193732	33.91	69.44444444
ZY156	15.76	49.42	25.32248157	40.94	56.89655172
ZY440	45.49	50.98	52.5974026	78.38	80.46875
ZY178	15	54.65	44.83333333	35.77	76.5625
J60	28.52	43.16	21.31410256	55.3	64.77272727
ZY354	32.49	52.15	14.65053764	82.47	82.5
ZY375	27.39	25	26.30208333	63.98	78.22580645
ZY356	35.85	41.79	17.01796188	70.67	79.16666667
ZY263	20.94	31.06	3.176930596	43.52	50
ZY163	15.91	63.61	17.29312354	33.69	70.58823529
ZY238	37.27	61.05	25.76388889	52.06	68.10344828
ZY118	36.97	58.12	42.41071428	76.31	86.71875
ZY360	6.83	10.91	4.585913312	26.96	36.60714286
J33	43.83	61.78	55.72755418	78.61	93.93939394
ZY371	29.97	27.47	18.57638889	59.48	55.64516129
ZY14	14.77	29.91	17.77777778	38.24	27.27272727
ZY338	25.42	28.22	1.920681063	39.17	50
ZY207	7.29	34.36	23.47136223	26.12	49.13793103
ZY187	16.31	37.54	36.37267904	21.45	34.09090909
J1	NA	NA	NA	NA	70.16129032
ZY259	4.29	21.35	8.508064515	22.5	35.15625
ZY274	29.67	41.1	22.03630176	62.34	77.34375
ZY106	27.93	68.01	46.04166666	51.63	75.71428571
ZY409	44.6	48.83	31.04066985	49.05	65.625
ZY445	35.51	44.14	49.19354839	82.67	65.32258065
ZY213	19.77	54.85	7.200929152	43.29	75.80645161
ZY420	13.54	26.85	16.61057692	42.94	61.42857143
J29	NA	NA	NA	NA	72.32142857
ZY245	24.17	46.02	19.15178571	27.93	72.32142857
J49	35.53	54.21	44.71153846	61.15	39.70588235
ZY405	29.83	58.17	32.38078541	65.92	80.35714286
ZY199	13.05	31.17	19.79166666	31.05	74.07407407
ZY425	18.37	28.22	14.86344538	37.52	56.48148148
J25	24.23	53.15	13.97596656	58.79	78.90625
ZY158	28.98	60.23	50.32407407	42.32	65.32258065
ZY333	37.8	41.47	25.37878788	56.73	72.65625
ZY431	31.66	63.63	29.1801948	58.98	83.59375
ZY74	22.58	54.3	31.60418483	71.79	81.66666667
ZY6	11.03	50.91	8.06451613	27.66	54.54545455
ZY147	11.77	53.11	26.60098522	58.18	73.38709677
ZY202	5.9	37.87	8.951483562	7.92	30.17241379
ZY294	27.85	28.85	31.85889377	58.34	71.42857143
J20	40.54	65.94	37.5	53.39	82.8125
ZY84	13.74	66.23	45.47909407	50.5	81.4516129
ZY398	47.61	39.52	23.58552632	41.4	71.62162162
ZY2	18.8	31.24	12.8125	58.37	49.21875
ZY235	38.72	77.52	25.09469697	45.64	69.16666667
ZY10	7.48	39.32	4.851398601	43.42	56.48148148
J45	27.28	61.3	30.24553571	54.02	32.03125
ZY112	9.86	47.04	30.078125	30.79	66.34615385
ZY412	69.83	74.25	50.48611111	90.37	81.89655172
ZY378	31.06	33.09	5.46875	64.07	64.28571429
ZY63	31.61	56.68	37.63955343	69.04	85.83333333
ZY267	50.44	70.8	22.85353535	77.65	83.06451613
J64	29.59	54.67	17.36607143	57.2	79.83870968
ZY323	39.73	50.04	12.73809524	52.15	80.3030303
ZY478	42.92	66.91	53.09523809	64.4	71.15384615
ZY359	17.56	29.45	10.08928571	32.91	57.8125
ZY32	18.16	37.99	26.37987013	46.41	78.22580645
ZY421	60.87	59.26	55.76441103	64.33	63.19444444
ZY184	27.17	53.56	28.28159041	51.05	75
ZY507	25.54	58.79	30.98214285	68.4	75.80645161
ZY434	17.93	47.79	44.08033826	43.77	75
ZY230	10.02	52.43	19.36603943	44.55	62.5
J58	50.06	52.27	26.32352941	72.6	77.20588235
ZY95	22.35	62.12	43.41168091	61.93	79.6875
ZY103	31.8	72.75	42.36344538	60.03	83.59375
ZY211	34.82	52.1	34.59145021	45.9	56.89655172
ZY81	28.17	58.21	46.67293233	69.43	93.38235294
ZY329	55.82	58.85	29.0211397	83.88	91.12903226
ZY223	19.02	59.87	39.98235887	53.4	80
ZY38	28.66	42.46	17.85087719	43.44	87.06896552
