features.plot	id	Effect	Type
qVWR.D10.1	M-b	5.37	7.091556
qVWR.D10.1	18M-3	5.39	7.1313917
qVWR.D10.1	18M-2	6.02	8.029125
qVWR.D08.1	18C-3	5.22	6.9980444
qVWR.D08.1	All-b	5.32	7.0339898
qVWR.D08.1	C-b	5.32	7.0448807
qVWR.D08.1	20C-1	5.44	7.2144798
qVWR.D07.1	K-b	6.92	9.5617308
qVWR.D07.1	19K-b	8.05	11.1912742
qVWR.D07.1	19K-3	6.47	8.6548059
qVWR.D07.1	19K-2	5.48	7.2343179
qVWR.D07.1	19K-1	5.93	8.0675999
qVWR.D01.1	M-b	5.72	7.8790263
qVWR.D01.1	18M-3	5.64	7.7500128
qVWR.D01.1	18M-2	6.6	8.8785259
qVWR.A13.1	18C-b	6.04	8.0214826
qVWR.A13.1	18C-3	5.65	7.5442052
qVWR.A13.1	18C-2	5.9	7.9012798
qVWR.A11.2	K-b	5.35	7.1619821
qVWR.A11.2	18K-3	5.03	6.6928372
qVWR.A11.2	19K-b	6.04	8.1561227
qVWR.A11.2	19K-3	6.29	8.4828048
qVWR.A10.3	All-b	8.15	10.9637844
qVWR.A10.3	C-b	6.75	9.022119
qVWR.A10.3	18K-b	5.52	7.3272458
qVWR.A10.3	20C-1	7.08	9.5757788
qVWR.A10.3	18C-3	5.35	7.0911388
qVWR.A10.3	18C-2	5.34	7.0701959
qVWR.A10.3	18K-3	6.93	9.2759436
qVWR.A10.3	18K-1	5.9	7.8321208
qVWR.A07.1	M-b	5.74	7.6216905
qVWR.A07.1	18M-3	6	7.9902377
qVWR.A07.1	18M-2	6.29	8.3997061
qVWR.A01.2	All-b	8.81	12.3622286
qVWR.A01.2	C-b	5.55	7.6370684
qVWR.A01.2	K-b	5.64	7.7830349
qVWR.A01.2	18K-b	6.67	7.2060128
qVWR.A01.2	M-b	6.07	8.307192
qVWR.A01.2	20C-1	5.41	7.1180602
qVWR.A01.2	18K-3	7.12	9.7263135
qVWR.A01.2	18K-2	6.51	9.0671705
qVWR.A01.2	18M-3	6.09	8.3415765
qVWR.A01.1	C-b	6.04	7.9889448
qVWR.A01.1	18C-b	5.59	7.4335545
qVWR.A01.1	18C-3	5.47	7.1963929
