id	M3	D3	M12	D12	type
GH_A01G2451	NA	NA	5.27457	NA	pos
GH_A01G2464	-4.9388	-4.04511	-4.7436	-4.865	neg
GH_A01G2469	NA	NA	5.19134	4.9617	pos
GH_A01G2482	NA	4.24325	4.81371	NA	pos
GH_A05G0217	-4.40352	NA	NA	NA	neg
GH_A11G3603	4.2314	4.40277	3.82	NA	pos
GH_A11G3615	-4.21663	-4.34025	-4.38	NA	neg
GH_A11G3617	-4.34025	-4.34025	-4.35	-4.28577	neg
GH_A13G2159	-4.61888	-4.48971	-4.5098	-4.4362	neg
GH_A13G2163	NA	NA	NA	-4.33688	neg
GH_D07G1089	NA	-5.33657	NA	NA	neg
GH_D07G1095	NA	-5.10785	-5.03484	-4.97471	neg
GH_D07G1097	4.369	5.04771	4.9986	5.31079	pos
GH_D07G1098	5.433	5.49496	5.49914	5.38353	pos
GH_D07G1099	-5.0343	-4.92994	-5.17438	-5.1849	neg
GH_D07G1106	5.5467	NA	4.60373	NA	pos
GH_D07G1447	-4.29099	-4.40965	NA	NA	neg
GH_D12G0311	NA	NA	NA	4.27353	pos
GH_D13G0063	4.60122	NA	NA	NA	pos
