transcript_id	J668_0h	1095_0h	J668_3d	1095_3d
GH_D09G1334	0.701512	0.328857	0.86084	0.689291
GH_A01G2088	0.149043	0.761326	3.04188	2.61766
GH_A04G1120	1.14532	2.89532	4.25639	5.35178
GH_A06G2283	0.6231	1.59706	1.86932	1.82956
GH_D01G2124	0.15751	0.506969	2.63382	2.3696
GH_D07G0536	0.362234	1.00818	0.6311	0.764537
GH_A01G1543	1.31617	0.255375	0.266752	0.249657
GH_A02G0586	0.124404	0.0249013	0	0
GH_A03G1488	8.31016	3.89911	0.908701	1.19673
GH_A03G1966	46.0188	16.3244	7.0907	4.50551
GH_A03G1967	42.9553	15.8474	3.94865	3.01675
GH_A03G1968	60.7259	28.7128	2.6031	1.61691
GH_A04G1360	1.43551	0.354431	0.338397	0.250724
GH_A04G1361	0.116117	0.472313	2.10005	25.5333
GH_A04G1448	6.08213	41.9397	72.5346	46.6477
GH_A05G1731	0.487881	0.051682	0.0169407	0.0320523
GH_A05G2763	4.28518	2.4452	3.39739	3.90055
GH_A05G2820	4.3152	1.5042	8.07236	6.54646
GH_A06G1247	1.12827	2.70228	2.66263	3.22114
GH_A07G2572	0.470606	0.108211	0.0351733	0
GH_A08G0432	18.243	8.38916	1.40723	0.919164
GH_A08G0433	21.4306	9.5913	2.80603	1.13657
GH_A08G0434	26.7965	12.0834	3.77069	1.58652
GH_A08G0435	24.3579	11.037	3.0049	1.05153
GH_A08G0907	9.55468	32.0445	10.1958	11.7951
GH_A08G2311	3.5795	1.22149	4.24847	2.35215
GH_A08G2617	101.859	46.6118	15.2206	8.67648
GH_A09G1444	0.327935	1.32649	0.446517	0.73153
GH_A09G1846	108.588	63.6787	45.2506	34.8897
GH_A09G2319	7.09403	3.93548	1.48483	0.701285
GH_A10G0643	0.733104	0.345833	0	0
GH_A10G1607	7.60495	3.23904	5.2332	3.31645
GH_A10G1608	62.6857	21.1859	37.6222	9.87982
GH_A10G1885	0.25756	0.0688893	0.0341763	0.0288627
GH_A11G0460	9.10893	5.34705	3.23618	4.29629
GH_A11G2120	0.249331	0.06377	0.0835873	0.024965
GH_A12G0068	8.96803	20.3752	3.53062	1.7231
GH_A12G0069	0.746432	2.39236	0.587075	0.148139
GH_A12G1750	2.83596	6.35073	2.63023	6.97587
GH_A12G2311	2.60278	1.13652	1.24834	1.20127
GH_A12G2480	5.39772	16.5263	34.1943	61.0269
GH_D01G0116	4.26425	4.49624	1.25681	0.458072
GH_D01G1641	1.77131	0.466625	0.150843	0.0832857
GH_D01G1643	8.24621	1.82107	1.24697	0.70818
GH_D01G2015	0.321224	0.172914	0.0183537	0.0197617
GH_D02G1451	0.389388	0.205825	0.275937	0.402496
GH_D02G1471	142.146	81.5414	13.6539	16.8476
GH_D02G2136	2.56093	0.942603	0.441143	0.335769
GH_D02G2137	24.4258	9.11637	1.94365	1.57337
GH_D03G1634	6.7073	9.52315	5.71106	2.619
GH_D04G0423	19.6376	9.20368	21.2763	19.0131
GH_D04G1704	56.8399	14.8248	12.4657	10.7709
GH_D04G1706	0.42045	3.98905	14.3	36.2379
GH_D04G1791	8.90075	35.1258	102.148	87.6566
GH_D05G1320	9.18635	4.97669	2.48602	2.56998
GH_D05G1875	1.41451	1.30517	0.803777	2.22784
GH_D05G2833	1.05578	0.040265	0.242082	0.344073
GH_D06G1268	0.545007	0.703053	0.177027	0.416793
GH_D08G0452	8.91502	4.35155	1.08633	0.284138
GH_D08G0454	17.4801	6.9158	1.48363	0.650076
GH_D08G2319	2.41792	0.813527	3.63839	1.84273
GH_D08G2611	263.473	113.975	49.4197	32.2455
GH_D09G2256	20.5123	14.8972	2.7849	1.08738
GH_D09G2257	6.0414	3.44082	0.865947	0.529231
GH_D09G2258	2.70071	1.87106	0.417868	0.213281
GH_D09G2259	0.999256	0.380811	0.0825913	0.0396123
GH_D10G0686	6.94517	2.91679	0.580154	0.452183
GH_D10G1283	60.3413	15.4736	35.2163	8.55342
GH_D10G1284	4.93929	2.05093	3.03118	2.64781
GH_D11G1921	0.461198	0.61101	0.724794	1.55296
GH_D11G2319	9.20015	1.63669	0.328206	0.383965
GH_D11G2574	0.892063	0.180234	0.0671653	0.0699393
GH_D12G0069	10.2422	12.2263	1.90702	0.445184
GH_D12G1745	3.18361	6.99711	2.49625	6.1487
GH_D12G1766	0.656554	0.242795	0.424307	0.346381
GH_D12G2324	2.76903	1.16687	1.89473	1.79888
GH_D12G2494	4.44804	13.0996	27.8192	50.8379
GH_D12G2843	1.44409	0.783485	1.8091	1.0582
GH_D13G0905	9.52799	22.6815	3.08631	5.18506
GH_D13G0906	1.19435	3.19446	0.406084	0.766564
GH_D13G2569	2.51755	1.38287	0.691236	0.54288
