gene	chr	pos	fdr
GH_A01G0070	A01	555906	0.651242156483826
GH_A01G0071	A01	559187	0.538301100733613
GH_A01G0072	A01	571490	0.599486250194418
GH_A01G0088	A01	714107	0.408082869918703
GH_A01G0090	A01	724885	0.49222209335741
GH_A01G0093	A01	736178	0.562663327174912
GH_A01G0105	A01	813982	0.710233782617836
GH_A01G0109	A01	861138	0.591320702402846
GH_A01G0110	A01	864454	0.654194326749733
GH_A01G0120	A01	907655	0.523977368447798
GH_A01G0130	A01	984182	0.347112309644729
GH_A01G0157	A01	1337162	0.530595764043969
GH_A01G0175	A01	1523992	0.576221722232458
GH_A01G0180	A01	1583466	0.564326475803029
GH_A01G0218	A01	1915067	0.512199155717573
GH_A01G0247	A01	2193751	0.647529544906802
GH_A01G0248	A01	2197981	0.65559072848436
GH_A01G0249	A01	2202841	0.653424396702562
GH_A01G0258	A01	2269171	0.382930865176491
GH_A01G0295	A01	2597178	0.548163640151304
GH_A01G0296	A01	2598863	0.583574061092834
GH_A01G0299	A01	2621999	0.656389883406165
GH_A01G0304	A01	2656626	0.764228245268664
GH_A01G0307	A01	2674730	0.753736233126311
GH_A01G0316	A01	2753832	0.317271195418916
GH_A01G0323	A01	2819458	0.452312669059976
GH_A01G0328	A01	2866702	0.615879325597317
GH_A01G0329	A01	2874953	0.250626804747278
GH_A01G0330	A01	2905180	0.192432532392389
GH_A01G0331	A01	2923465	0.390552784478052
GH_A01G0333	A01	3001180	0.644062917430477
GH_A01G0347	A01	3150752	0.549943614718884
GH_A01G0350	A01	3215916	0.569419030272005
GH_A01G0371	A01	3574654	0.79368968589942
GH_A01G0374	A01	3636321	0.177468869025724
GH_A01G0375	A01	3642034	0.191548243067476
GH_A01G0378	A01	3652748	0.282004416065116
GH_A01G0379	A01	3654583	0.244290182032245
GH_A01G0383	A01	3758102	0.675606698811755
GH_A01G0387	A01	3797701	0.673050255925078
GH_A01G0388	A01	3832039	0.409518566546429
GH_A01G0407	A01	4182681	0.741098440666395
GH_A01G0408	A01	4185816	0.787981572339039
GH_A01G0409	A01	4220595	0.739303383901237
GH_A01G0412	A01	4253546	0.732542090804612
GH_A01G0417	A01	4272290	0.733496505092034
GH_A01G0418	A01	4276733	0.782797569673255
GH_A01G0419	A01	4305004	0.743393476563534
GH_A01G0433	A01	4598484	0.650454121942394
GH_A01G0439	A01	4662155	0.665041723202372
GH_A01G0440	A01	4663479	0.660404816859936
GH_A01G0458	A01	4974944	0.265316510701083
GH_A01G0461	A01	5032462	0.539970860530821
GH_A01G0477	A01	5506262	0.221522939101403
GH_A01G0478	A01	5521243	0.795664092236044
GH_A01G0481	A01	5546377	0.501133578151992
GH_A01G0500	A01	5754654	0.691943937623978
GH_A01G0501	A01	5775759	0.691943937623978
GH_A01G0503	A01	5844312	0.698584955741561
GH_A01G0506	A01	6044646	0.428973322816884
GH_A01G0509	A01	6129673	0.318686094488888
GH_A01G0521	A01	6383879	0.497730915822295
GH_A01G0522	A01	6386057	0.628211666643972
GH_A01G0525	A01	6426889	0.676306538840838
GH_A01G0529	A01	6478739	0.729136364805942
GH_A01G0561	A01	6873579	0.4917086413704
GH_A01G0591	A01	7240658	0.688249117799777
GH_A01G0619	A01	7565062	0.532341902020911
GH_A01G0620	A01	7583748	0.511790875071287
GH_A01G0621	A01	7621446	0.555772368691867
GH_A01G0625	A01	7657695	0.726721485255845
GH_A01G0626	A01	7668104	0.317751473579471
GH_A01G0630	A01	7730133	0.807756324887984
GH_A01G0633	A01	7755107	0.83938638444593
GH_A01G0645	A01	8017403	0.626428814208804
GH_A01G0691	A01	9073754	0.672099902701951
GH_A01G0694	A01	9385106	0.516796084554101
GH_A01G0702	A01	9695664	0.542452169126796
GH_A01G0704	A01	9729247	0.57012044774879
GH_A01G0708	A01	9808659	0.674424136645776
GH_A01G0710	A01	9849202	0.665489781318196
GH_A01G0754	A01	11349977	0.712760794740845
GH_A01G0806	A01	12182377	0.459794136234972
GH_A01G0807	A01	12187351	0.459794136234972
GH_A01G0808	A01	12188215	0.447038132503832
GH_A01G0811	A01	12196421	0.512037601996705
GH_A01G0873	A01	13655038	0.497392730328207
GH_A01G0886	A01	13857009	0.630864046871002
GH_A01G0898	A01	14104802	0.741951194613032
GH_A01G0899	A01	14106790	0.697670395685254
GH_A01G0902	A01	14118054	0.671040673404071
GH_A01G0903	A01	14125125	0.714644209340655
GH_A01G0926	A01	15742315	0.814983163466711
GH_A01G0930	A01	15863982	0.79863707003396
GH_A01G0931	A01	15876644	0.775815649719305
GH_A01G0939	A01	16454111	0.620718829566988
GH_A01G0940	A01	16461687	0.72707429909248
GH_A01G0946	A01	16613117	0.7335014689473
GH_A01G0947	A01	16649114	0.642251685012814
GH_A01G0948	A01	16670411	0.581240396678558
GH_A01G0949	A01	16748701	0.766215641648108
GH_A01G0959	A01	17197861	0.695631577786312
GH_A01G0974	A01	17846048	0.707590057665585
GH_A01G0987	A01	18320742	0.691349854529393
GH_A01G0999	A01	18882060	0.740780320644013
GH_A01G1010	A01	19059530	0.705711925428324
GH_A01G1016	A01	19170056	0.741861435455934
GH_A01G1022	A01	19336209	0.666733745453938
GH_A01G1024	A01	19409027	0.534828983295425
GH_A01G1043	A01	19785635	0.619532459100973
