gene	chr	pos	fdr
GH_A01G0070	A01	555906	0.776278700217892
GH_A01G0071	A01	559187	0.586232365080657
GH_A01G0072	A01	571490	0.792800285943495
GH_A01G0090	A01	724885	0.412323731373339
GH_A01G0105	A01	813982	0.72554990368029
GH_A01G0109	A01	861138	0.579487447340917
GH_A01G0110	A01	864454	0.603926860758838
GH_A01G0120	A01	907655	0.597389492951625
GH_A01G0180	A01	1583466	0.719325150302937
GH_A01G0205	A01	1789119	0.655325919642561
GH_A01G0218	A01	1915067	0.50293976599287
GH_A01G0248	A01	2197981	0.740908423812005
GH_A01G0249	A01	2202841	0.706762552048118
GH_A01G0253	A01	2233767	0.39535692380679
GH_A01G0304	A01	2656626	0.836438307653457
GH_A01G0307	A01	2674730	0.759740533734622
GH_A01G0316	A01	2753832	0.488513521995662
GH_A01G0328	A01	2866702	0.757106603578166
GH_A01G0330	A01	2905180	0.278934165813707
GH_A01G0331	A01	2923465	0.450034298005743
GH_A01G0333	A01	3001180	0.499943083594283
GH_A01G0347	A01	3150752	0.486952750054491
GH_A01G0350	A01	3215916	0.732784395209357
GH_A01G0371	A01	3574654	0.581282164672043
GH_A01G0375	A01	3642034	0.111781640685874
GH_A01G0378	A01	3652748	0.0931424371435235
GH_A01G0379	A01	3654583	0.0944365031644669
GH_A01G0381	A01	3698763	0.509825790791604
GH_A01G0383	A01	3758102	0.543216174558903
GH_A01G0387	A01	3797701	0.272328839660789
GH_A01G0388	A01	3832039	0.359768711341814
GH_A01G0391	A01	3947343	0.761936116752878
GH_A01G0396	A01	3984633	0.708266618676656
GH_A01G0408	A01	4185816	0.762376819449426
GH_A01G0409	A01	4220595	0.7806896813526
GH_A01G0413	A01	4254695	0.789441142299545
GH_A01G0417	A01	4272290	0.795367238220189
GH_A01G0418	A01	4276733	0.753384613330419
GH_A01G0419	A01	4305004	0.788960423080691
GH_A01G0433	A01	4598484	0.538136158582149
GH_A01G0439	A01	4662155	0.506132143921394
GH_A01G0440	A01	4663479	0.742784172692336
GH_A01G0449	A01	4845048	0.265607079650295
GH_A01G0458	A01	4974944	0.293344703255872
GH_A01G0470	A01	5140207	0.373520594835587
GH_A01G0477	A01	5506262	0.277945053810373
GH_A01G0481	A01	5546377	0.528382354010575
GH_A01G0500	A01	5754654	0.683086028329969
GH_A01G0501	A01	5775759	0.783254108107621
